agent_run_id,pr_phase,prompt_summary,allowed_files,commands_run,git_commit_before,git_commit_after,status,stop_condition_hit,evidence,reviewer,notes
AGENT-PR-AUDIT-0,PR-AUDIT-0,Repository reality audit no file changes,none,git rev-parse HEAD;git status;git ls-files;grep overclaim,a059880,a059880,PASSED,false,audit report in agent transcript,PENDING_CONFIRMATION,No files modified
AGENT-PR-0,PR-0,Safety claim guard state alignment,.gitignore;docs/status;docs/release_state*;scripts/security/*;scripts/verify_no_*;src/wmh2017/security/overclaim.py;src/wmh2017/registry/release_state.py;registry/agent_run_register.csv;tests/security/*,python scripts/security/verify_no_overclaim.py .;pytest tests/security,a059880,PENDING,PASSED,false,security guards added,PENDING_CONFIRMATION,v4 PR-0 baseline
AGENT-PR-1,PR-1,Dataset manifest split header audit,scripts/data/*;src/wmh2017/schemas.py;src/wmh2017/medical_header_audit.py;docs/data/*;tests/unit/test_schemas.py;tests/test_medical_header_audit.py,python scripts/data/generate_dataset_manifest.py;pytest tests/unit/test_schemas.py,a059880,PENDING,PASSED,false,MISSING_WMH2017_ROOT path tested,PENDING_CONFIRMATION,v4 PR-1
AGENT-PR-SMOKE-1,PR-SMOKE-1,Tiny smoke shell and v4 artifacts,configs/wmh2017_monai_tiny_smoke.yaml;scripts/run_wmh2017_tiny_smoke.sh;src/wmh2017/evidence.py;tests/integration/test_minimal_pipeline_fixture.py,bash scripts/run_wmh2017_tiny_smoke.sh;pytest tests/integration/test_minimal_pipeline_fixture.py,a059880,PENDING,PASSED,false,FAILED_RUN path for missing root,PENDING_CONFIRMATION,preserve preview baseline
AGENT-PR-2,PR-2,Metric formula lock,docs/model_validation/*;scripts/validation/verify_metric_formula_lock.py;tests/test_metrics_*_toy.py,python scripts/validation/verify_metric_formula_lock.py;pytest tests/test_metrics_dice_toy.py,a059880,PENDING,PASSED,false,formula lock docs,PENDING_CONFIRMATION,v4 PR-2
AGENT-PR-3,PR-3,Reporting and claim gate,scripts/reporting/*;src/wmh2017/claim_policy.py;registry/claim_*;tests/test_report_generation_no_runs.py,python scripts/reporting/generate_biweekly_report.py;verify_manager_report_claims.py,a059880,PENDING,PASSED,false,biweekly zero-run report,PENDING_CONFIRMATION,v4 PR-3
AGENT-PR-4,PR-4,CI MLflow SBOM,configs/mlflow/*;scripts/mlflow/*;scripts/security/verify_no_raw_data_in_mlruns.py;CODEOWNERS.template;.github/workflows/structural_ci.yml,python scripts/mlflow/setup_mlflow_experiment.py;pytest tests/test_mlflow_local_config.py,a059880,PENDING,PASSED,false,CI gates extended,PENDING_CONFIRMATION,v4 PR-4
AGENT-PR-5,PR-5,Visual QA policy,scripts/validation/generate_visual_report.py;docs/model_validation/derived_artifact_policy.md;tests/test_visual_report_policy.py,pytest tests/test_visual_report_policy.py,a059880,PENDING,PASSED,false,figure manifest only,PENDING_CONFIRMATION,v4 PR-5
AGENT-PR-6,PR-6,ADR registers binder,docs/review/review_gate_matrix.md;scripts/validate_registers.py;tests/test_register_schemas.py,python scripts/validate_registers.py,a059880,PENDING,PASSED,false,register validation,PENDING_CONFIRMATION,v4 PR-6
AGENT-PR-7,PR-7,Third-party gate reproducibility,third_party/official_wmh_evaluator/*;scripts/release/run_reproducibility_rehearsal.py;docs/reproducibility_rehearsal.md,python scripts/release/run_reproducibility_rehearsal.py --all-scenarios,a059880,PENDING,PASSED,false,no evaluator import until LICENSE,PENDING_CONFIRMATION,v4 PR-7
AGENT-WAVE-3,WAVE-3,Preview hardening GAP closure,.devcontainer/*;scripts/release/update_latest_green_ci.py;src/wmh2017/observability/write_offline_dashboard.py;docs/hosted_ci_hash_verify.md;tests/unit/test_property_metrics.py,python scripts/release/update_latest_green_ci.py;pytest tests/unit/test_property_metrics.py,a059880,PENDING,PASSED,false,GAP-007 automation added;GAP-004/013 remain human gate,PENDING_CONFIRMATION,Wave 3
