source_id,title,type,url_or_doi,version,license,authority_level,review_status,reviewer,review_date,claim_ids,notes
SRC-WMH-DATASET-OFFICIAL,Data of the White Matter Hyperintensity Segmentation Challenge,dataset,doi:10.34894/AECRSD,2022-12-21,CC-BY-NC-4.0,primary,NEEDS_EVIDENCE_REVIEW,UNASSIGNED_HUMAN_REVIEWER,NOT_REVIEWED,CLAIM-DATASET-IDENTITY,"DataverseNL dataset; terms and non-commercial boundary must be reviewed before any publication/commercial use | Claim use is blocked until source detail, license, reviewer, and review_date are completed."
SRC-WMH-README-2022,WMH segmentation challenge readme,documentation,readme.pdf,December 2022,UNVERIFIED_SOURCE_DETAIL,primary,NEEDS_EVIDENCE_REVIEW,UNASSIGNED_HUMAN_REVIEWER,NOT_REVIEWED,CLAIM-DATASET-STRUCTURE,"Defines training/test structure labels and evaluation metrics | Claim use is blocked until source detail, license, reviewer, and review_date are completed."
SRC-WMH-CHALLENGE-PAPER-2019,Standardized Assessment of Automatic Segmentation of White Matter Hyperintensities and Results of the WMH Segmentation Challenge,paper,doi:10.1109/TMI.2019.2905770,2019,UNVERIFIED_SOURCE_DETAIL,primary,NEEDS_EVIDENCE_REVIEW,UNASSIGNED_HUMAN_REVIEWER,NOT_REVIEWED,CLAIM-EVAL-PROTOCOL,"Primary citation for challenge results and evaluation protocol | Claim use is blocked until source detail, license, reviewer, and review_date are completed."
SRC-WMH-EVAL-CODE,Official WMH evaluation code,code,UNVERIFIED_SOURCE_DETAIL,UNVERIFIED_SOURCE_DETAIL,UNVERIFIED_SOURCE_DETAIL,primary,NEEDS_EVIDENCE_REVIEW,UNASSIGNED_HUMAN_REVIEWER,NOT_REVIEWED,CLAIM-METRIC-COMPATIBILITY,"Must be located and hashed before leaderboard-comparable claims | Claim use is blocked until source detail, license, reviewer, and review_date are completed."
SRC-LI-FCN-ENSEMBLE-2018,Winner FCN ensemble method paper,paper,UNVERIFIED_SOURCE_DETAIL,UNVERIFIED_SOURCE_DETAIL,UNVERIFIED_SOURCE_DETAIL,source_report,NEEDS_EVIDENCE_REVIEW,UNASSIGNED_HUMAN_REVIEWER,NOT_REVIEWED,CLAIM-WINNER-METHOD,"Fill DOI/arXiv/code source after verification; do not treat as reproduced result | Claim use is blocked until source detail, license, reviewer, and review_date are completed."
SRC-HONGWEI-WMH-IBBMTUM,Winner reproduction or released implementation,code/model,UNVERIFIED_SOURCE_DETAIL,UNVERIFIED_SOURCE_DETAIL,UNVERIFIED_SOURCE_DETAIL,implementation_reference,NEEDS_LICENSE_REVIEW,UNASSIGNED_HUMAN_REVIEWER,NOT_REVIEWED,CLAIM-WINNER-REPRO,"Verify license model provenance and exact relation to winning submission | Claim use is blocked until source detail, license, reviewer, and review_date are completed."
SRC-ANTSXNET-SYSUMEDIA,ANTsXNet/ANTsRNet sysu_media wrapper,code/model,UNVERIFIED_SOURCE_DETAIL,UNVERIFIED_SOURCE_DETAIL,UNVERIFIED_SOURCE_DETAIL,implementation_reference,NEEDS_EVIDENCE_REVIEW,UNASSIGNED_HUMAN_REVIEWER,NOT_REVIEWED,CLAIM-WINNER-INFERENCE_REFERENCE,"Useful as inference reference only; not official implementation unless source proves it | Claim use is blocked until source detail, license, reviewer, and review_date are completed."
SRC-MONAI-DOCS,MONAI documentation,framework_docs,UNVERIFIED_SOURCE_DETAIL,UNVERIFIED_SOURCE_DETAIL,UNVERIFIED_SOURCE_DETAIL,implementation_reference,NEEDS_EVIDENCE_REVIEW,UNASSIGNED_HUMAN_REVIEWER,NOT_REVIEWED,CLAIM-MONAI-BASELINE,"Record exact version used in env | Claim use is blocked until source detail, license, reviewer, and review_date are completed."
SRC-NNUNETV2-DOCS,nnU-Net v2 documentation,framework_docs,UNVERIFIED_SOURCE_DETAIL,UNVERIFIED_SOURCE_DETAIL,UNVERIFIED_SOURCE_DETAIL,implementation_reference,NEEDS_EVIDENCE_REVIEW,UNASSIGNED_HUMAN_REVIEWER,NOT_REVIEWED,CLAIM-NNUNET-BASELINE,"Record exact version and planning settings | Claim use is blocked until source detail, license, reviewer, and review_date are completed."
SRC-LOCAL-DOWNLOAD-RECORD,Local WMH2017 download record,local_evidence,download_record.txt,2026-06-16,not_a_license,local_evidence,NEEDS_HUMAN_REVIEW,UNASSIGNED_HUMAN_REVIEWER,NOT_REVIEWED,CLAIM-DOWNLOAD-INTEGRITY,"1791 downloaded files and SHA256 entries reported in provided evidence | Claim use is blocked until source detail, license, reviewer, and review_date are completed."
SRC-LOCAL-SHA256,Local SHA256 evidence,local_evidence,SHA256SUMS.txt,2026-06-16,not_a_license,local_evidence,NEEDS_HUMAN_REVIEW,UNASSIGNED_HUMAN_REVIEWER,NOT_REVIEWED,CLAIM-DOWNLOAD-INTEGRITY,"Keep outside git if absolute paths or raw-data evidence are sensitive | Claim use is blocked until source detail, license, reviewer, and review_date are completed."
